adlist_id,user_fingerprint,key,count,rating
0,1fc99101-0ad2-4f6e-b50f-1645fc77722d,1,2,2.5
0,576c60f8-adf7-4f32-9af7-a122319fc6f4,1,42,5
0,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,1,39,5
0,68db2965-67c1-431d-bf5f-1a9c673f6394,1,5,5
0,6b4f6860-1ac5-48a7-af88-2b10e5b05b08,1,8,5
0,735a7fbb-7db3-419f-9650-eccfd5fdcb4e,1,2,2.5
0,751b2bf4-57e3-4a6b-9b74-a5dacffe09c1,1,1,2.5
0,d62e843d-d50f-4a8e-a555-f444d4ade8ef,1,8,5
15474008,fabcea94-7518-44a2-b5d4-a8c3b8012aa6,1,2,2.5
23234875,29470a9d-d065-410c-8b35-31a598add551,1,1,2.5
25308013,11bd997d-3fbc-4171-9620-851df209e347,1,1,2.5
27098139,71b191f9-dad8-4ebf-833e-9c52777d9996,1,2,2.5
27554490,425a2c49-db51-4375-ba74-6efa17754955,1,2,2.5
30691241,bc2eadf7-2b57-4305-b2ec-202abbf9a475,1,6,5
31253181,04fec418-63c0-463c-95b0-f96087efb92d,1,1,2.5
31522488,cfa9f21d-51da-49bc-9f84-168defd1e98f,1,1,2.5
32873183,79628a58-b103-4164-92ca-1821ffb340f1,1,1,2.5
32978161,11bd997d-3fbc-4171-9620-851df209e347,1,4,4
33624667,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,1,2,2.5
33624667,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,1,2.5
33920654,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,1,2.5
34325923,11bd997d-3fbc-4171-9620-851df209e347,1,1,2.5
34412023,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,5,5
34473182,11bd997d-3fbc-4171-9620-851df209e347,1,1,2.5
34518379,a189cd10-865d-4940-9315-fae870dea434,1,1,2.5
34518379,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,1,1,2.5
34525902,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,1,3,3
34923346,89b9ccb6-f7a3-4d2b-a950-0d9a72804e6c,1,1,2.5
35341035,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,1,1,2.5
35949517,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,1,1,2.5
36638699,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,1,3,3
36638699,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,1,2.5
36834592,46fbb6b9-c246-4b62-948e-75942dd8e31b,1,1,2.5
37070145,49beb268-8b94-41ba-9f4f-02a774f9e07f,1,1,2.5
37070145,e5031a9e-f56a-4bc4-9d0b-0f7fb49de209,1,1,2.5
37080863,11bd997d-3fbc-4171-9620-851df209e347,1,1,2.5
37162194,80053177-604d-483b-a831-09cd4c07a793,1,2,2.5
37431571,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,8,5
37620384,04fec418-63c0-463c-95b0-f96087efb92d,1,3,3
37946715,e15c2780-b03a-463e-aba9-76be81a3b62e,1,2,2.5
38085589,4d588d34-b005-4e72-8144-c9f9b8fd842f,1,2,2.5
38687162,cfa9f21d-51da-49bc-9f84-168defd1e98f,1,2,2.5
38873588,32593e71-f453-40bb-89eb-943b0bcd5dee,1,1,2.5
39089321,044f265e-6406-451b-91e0-747012242979,1,1,2.5
